DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN
11,November,+73.8,12:34,+53.8,02:21,28,07:15,11,13:20,+27.7,07:15,+8.2,23:40,+71.2,16:16,+67.5,04:47,+53.4,02:21,+70.3,12:34,0,00:00,29.88,07:03,29.71,23:59,13.4,12:38,232,0,5,0.47,68.122
12,November,+60.4,00:01,+47.3,04:47,81,05:20,14,01:13,+48.9,13:49,+8.2,01:13,+70.3,21:21,+67.1,06:46,+46,04:10,-999,00:00,0.12,03:25,29.74,23:59,29.68,21:18,14.8,03:12,27,0.12,0,0.12,35.349
13,November,+71.6,13:39,+49.1,05:33,72,03:22,22,13:22,+44.6,18:34,+30,13:28,+71.4,19:38,+66.4,06:36,+48,05:32,+73.9,14:27,0,00:00,29.85,23:48,29.74,06:33,9.6,14:18,183,0,1,0.12,62.608
14,November,+67.3,12:07,+47.3,05:56,86,23:07,35,12:18,+49.6,20:58,+35.8,11:19,+73,19:22,+66.9,04:47,+46.8,04:06,-999,00:00,0,00:00,29.88,23:59,29.79,17:18,11.2,12:51,229,0,2,0.12,43.874
15,November,+67.6,13:14,+48,23:52,94,23:59,37,14:07,+48.2,20:11,+39.9,14:10,+72,16:27,+68.2,06:11,+47.1,23:37,-999,00:00,0,00:00,29.94,23:59,29.88,17:48,9.6,14:58,180,0,3,0.12,34.749
16,November,+73.6,13:53,+45.3,06:32,97,07:47,28,13:58,+51.6,08:21,+33.8,23:39,+71.6,18:34,+66.4,04:48,+44.6,04:37,+74.8,16:28,0,00:00,30.03,22:33,29.94,06:18,7.4,14:56,236,0,4,0.12,43.33
17,November,+75.7,13:00,+47.7,23:59,76,23:59,18,13:33,+41.7,20:46,+27.5,12:45,+72.3,17:56,+67.3,09:04,+47.7,23:59,+73.9,14:00,0,23:59,30,01:33,29.85,23:59,9.6,14:05,254,0,5,0.12,49.019
18,November,+54.9,15:40,+45.5,00:54,97,08:20,57,15:45,+49.6,08:50,+39.7,15:45,+70.7,06:22,+66.9,14:26,+45.5,00:54,-999,00:00,0,00:00,29.85,11:48,29.79,23:59,5.8,15:10,44,0,6,0.12,6.811
19,November,+57.9,11:58,+47.8,23:59,94,04:21,50,16:06,+48.7,00:56,+34.3,16:57,+69.6,22:04,+66.2,06:46,+47.8,23:59,-999,00:00,0,00:00,29.82,23:59,29.76,18:03,10.5,11:34,171,0,7,0.12,28.448
20,November,+52.2,11:01,+42.3,03:41,100,23:59,47,07:57,+47.8,14:53,+30.9,07:36,+68.9,19:22,+64.9,06:46,+42.3,03:41,-999,00:00,0.63,15:29,29.85,23:59,29.76,16:33,15.2,13:16,95,0.87,0,0.87,32.964
21,November,+59.7,11:41,+39.7,06:12,100,09:13,41,12:18,+49.8,09:42,+34.9,11:51,+69.4,20:44,+64.2,04:48,+38.3,07:10,-999,00:00,0,23:59,30.12,23:48,29.85,02:03,8.7,12:31,184,0.04,0,0.04,41.068
22,November,+69.4,14:22,+42.6,06:02,93,00:13,14,14:57,+42.4,00:22,+17.8,14:57,+69.4,17:58,+63.5,04:47,+40.3,06:01,+71.4,12:40,0,23:59,30.12,11:03,29.97,23:59,8.3,13:51,231,0,1,0.04,71.793
23,November,+66.9,13:45,+47.3,06:29,91,23:59,27,09:09,+49.8,20:09,+21.4,04:13,+69.4,18:03,+64.4,04:48,+46,07:02,-999,00:00,0,00:00,29.97,00:18,29.82,23:59,9.2,14:37,244,0,2,0.04,59.456
24,November,+61.3,13:31,+43.7,23:47,92,23:59,37,14:57,+48.2,00:27,+33.6,13:33,+69.3,05:19,+66.4,09:32,+43.7,23:47,-999,00:00,0,00:00,29.97,23:59,29.82,06:18,8.3,02:46,184,0,3,0.04,24.715
25,November,+68.9,13:41,+41.2,05:27,96,06:18,25,13:44,+44.2,08:11,+24.8,23:47,+69.4,18:28,+63.9,04:47,+39.6,05:31,+72.5,13:41,0,23:59,30.09,23:59,29.94,00:33,7.8,14:42,188,0,4,0.04,54.672
26,November,+81.5,13:27,+50.4,00:17,38,00:18,10,15:57,+31.6,08:37,+13.6,09:28,+72.9,16:44,+64,06:46,+49.3,00:17,+76.1,13:27,0,23:59,30.18,10:48,30.09,14:18,7.8,10:34,245,0,5,0.04,77.68
27,November,+81.1,13:37,+54.5,04:32,25,08:27,10,15:54,+25.7,08:34,+7.7,06:24,+73.8,16:12,+66.9,06:47,+53.8,04:32,+75.7,14:06,0,00:00,30.18,11:18,30.06,23:59,7.4,12:12,184,0,6,0.04,76.133
28,November,+81.7,12:13,+56.3,04:59,27,08:46,10,15:37,+30.7,08:46,+7.7,04:59,+73.2,16:08,+67.5,05:54,+56.3,04:59,+76.3,12:13,0,23:59,30.06,10:18,29.97,23:59,5.8,14:52,247,0,7,0.04,68.722
29,November,+85.6,11:35,+58.8,05:51,29,09:39,10,14:42,+35.2,09:39,+10.4,23:56,+73.8,16:28,+68,08:07,+58.8,05:51,+79.7,11:35,0,00:00,30,10:48,29.91,18:03,7.8,12:13,223,0,8,0.04,60.641
30,November,+72,12:11,+51.8,19:05,66,18:47,12,12:34,+42.3,18:46,+7.7,21:46,+71.1,00:16,+67.6,23:59,+50.4,23:40,+70.3,14:24,0,00:00,29.94,00:03,29.62,21:48,44.1,21:54,40,0,9,0.04,131.334
